TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG
25.0,32.2,27.4,83.0,37.0,5.0,4.0,20.0,1.0
25.0,31.9,27.6,82.0,0.0,0.0,3.0,360.0,1.0
25.0,31.0,27.5,82.0,2.0,0.0,3.0,20.0,1.0
24.0,31.0,26.6,90.0,8.1,0.0,3.0,20.0,1.0
24.0,30.6,26.5,91.0,30.2,0.0,6.0,150.0,2.0
24.0,32.6,27.2,83.0,0.0,0.0,5.0,190.0,1.0
25.0,32.7,27.6,82.0,8.0,0.0,3.0,50.0,0.0
25.0,32.4,28.4,80.0,0.2,0.0,4.0,360.0,2.0
25.0,32.2,28.1,82.0,0.0,0.0,3.0,360.0,1.0
26.0,32.4,28.3,81.0,0.0,0.0,5.0,170.0,1.0
24.0,32.6,28.8,78.0,21.7,0.0,4.0,170.0,1.0
25.0,32.4,27.8,85.0,9.1,0.0,3.0,350.0,1.0
26.0,32.4,28.6,77.0,0.0,0.0,4.0,170.0,2.0
27.0,34.0,29.3,70.0,0.0,0.0,4.0,70.0,1.0
27.0,33.4,29.0,74.0,0.0,0.0,4.0,170.0,2.0
26.0,31.0,28.5,83.0,23.4,0.0,4.0,230.0,1.0
25.0,32.4,28.6,80.0,7.4,0.0,5.0,90.0,2.0
26.0,32.4,29.1,76.0,0.5,0.0,4.0,90.0,2.0
26.0,33.2,29.4,75.0,0.0,0.0,6.0,60.0,2.0
25.0,33.2,28.8,75.0,1.5,0.0,5.0,170.0,2.0
25.0,32.0,28.3,76.0,0.0,0.0,4.0,20.0,1.0
26.0,32.9,29.1,77.0,0.0,0.0,4.0,360.0,1.0
26.0,32.6,28.9,77.0,0.0,0.0,4.0,20.0,2.0
26.0,33.4,29.2,77.0,0.0,0.0,3.0,120.0,2.0
26.0,33.0,28.9,78.0,0.0,0.0,4.0,110.0,2.0
26.0,33.0,28.8,77.0,0.0,0.0,5.0,320.0,1.0
26.0,33.4,29.2,77.0,0.0,0.0,3.0,360.0,1.0
26.0,33.0,29.2,72.0,0.0,0.0,4.0,170.0,1.0
25.0,32.9,27.8,80.0,0.8,0.0,5.0,270.0,1.0
24.0,33.4,28.8,76.0,28.5,0.0,4.0,10.0,2.0
25.0,32.0,28.0,84.0,0.0,0.0,4.0,340.0,1.0
26.0,32.4,28.3,77.0,0.0,0.0,3.0,350.0,0.0
25.0,33.2,29.0,69.0,0.0,6.5,6.0,110.0,1.0
25.0,30.6,27.2,74.0,6.0,0.0,3.0,360.0,1.0
25.0,27.5,25.9,91.0,2.4,0.0,4.0,60.0,2.0
25.0,31.4,26.8,86.0,13.2,4.0,5.0,340.0,2.0
24.0,31.8,27.2,83.0,20.5,5.5,4.0,170.0,1.0
26.0,30.6,28.3,80.0,0.0,2.0,4.0,290.0,1.0
25.0,31.4,27.4,88.0,20.8,0.5,4.0,360.0,0.0
25.0,32.0,28.8,78.0,10.3,4.5,4.0,40.0,1.0
25.0,31.4,28.0,79.0,0.0,8.0,4.0,360.0,1.0
25.0,32.2,28.0,78.0,0.0,4.0,4.0,360.0,2.0
26.0,33.0,28.4,78.0,0.0,6.2,3.0,80.0,1.0
24.0,32.0,28.2,80.0,17.6,2.5,5.0,30.0,1.0
25.0,32.2,27.9,79.0,0.0,5.8,4.0,50.0,1.0
25.0,31.6,28.1,80.0,5.3,5.0,3.0,360.0,1.0
24.0,32.2,27.7,73.0,0.0,7.0,4.0,350.0,1.0
25.0,32.4,28.4,68.0,0.0,5.0,4.0,10.0,1.0
